ID|Filename|Format|Source Path
35|DSC_1953.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/Lightroom CC Downloaded Backup 2018/2018/2018/2018-09-08/DSC_1953.MOV
36|DSC_1954.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/Lightroom CC Downloaded Backup 2018/2018/2018/2018-09-08/DSC_1954.MOV
37|DSC_1958.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/Lightroom CC Downloaded Backup 2018/2018/2018/2018-09-08/DSC_1958.MOV
38|DSC_1959.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/Lightroom CC Downloaded Backup 2018/2018/2018/2018-09-08/DSC_1959.MOV
39|DSC_1971.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/Lightroom CC Downloaded Backup 2018/2018/2018/2018-09-08/DSC_1971.MOV
40|DSC_1972.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/Lightroom CC Downloaded Backup 2018/2018/2018/2018-09-08/DSC_1972.MOV
41|DSC_1973.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/Lightroom CC Downloaded Backup 2018/2018/2018/2018-09-08/DSC_1973.MOV
42|DSC_1974.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/Lightroom CC Downloaded Backup 2018/2018/2018/2018-09-08/DSC_1974.MOV
43|DSC_3180.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/Lightroom CC Downloaded Backup 2018/2018/2018/2018-09-21/DSC_3180.MOV
44|DSC_3181.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/Lightroom CC Downloaded Backup 2018/2018/2018/2018-09-21/DSC_3181.MOV
45|DSC_3450.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/Lightroom CC Downloaded Backup 2018/2018/2018/2018-09-23/DSC_3450.MOV
46|DSC_3451.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/Lightroom CC Downloaded Backup 2018/2018/2018/2018-09-23/DSC_3451.MOV
47|DSC_3452.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/Lightroom CC Downloaded Backup 2018/2018/2018/2018-09-23/DSC_3452.MOV
48|DSC_3499.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/Lightroom CC Downloaded Backup 2018/2018/2018/2018-09-23/DSC_3499.MOV
49|DSC_3504.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/Lightroom CC Downloaded Backup 2018/2018/2018/2018-09-23/DSC_3504.MOV
50|DSC_3505.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/Lightroom CC Downloaded Backup 2018/2018/2018/2018-09-23/DSC_3505.MOV
51|DSC_4513.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/Lightroom CC Downloaded Backup 2018/2018/2018/2018-10-07/DSC_4513.MOV
52|DSC_8257.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/Lightroom CC Downloaded Backup 2018/2018/2018/2018-11-14 Math & Science Afterschool Camp/DSC_8257.MOV
53|DSC_8405.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/Lightroom CC Downloaded Backup 2018/2018/2018/2018-11-16 Thanksgiving Breakfast/DSC_8405.MOV
54|DSC_8406.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/Lightroom CC Downloaded Backup 2018/2018/2018/2018-11-16 Thanksgiving Breakfast/DSC_8406.MOV
55|DSC_9658.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/Lightroom CC Downloaded Backup 2018/2018/2018/2018-11-29 Santa Shoot/DSC_9658.MOV
56|DSC_9659.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/Lightroom CC Downloaded Backup 2018/2018/2018/2018-11-29 Santa Shoot/DSC_9659.MOV
57|CDA_0247.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/Lightroom CC Downloaded Backup 2018/2018/2018/2018-12-11 Christmas Recital/CDA_0247.MOV
58|CDA_0248.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/Lightroom CC Downloaded Backup 2018/2018/2018/2018-12-11 Christmas Recital/CDA_0248.MOV
59|CDA_0249.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/Lightroom CC Downloaded Backup 2018/2018/2018/2018-12-11 Christmas Recital/CDA_0249.MOV
60|CDA_0250.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/Lightroom CC Downloaded Backup 2018/2018/2018/2018-12-11 Christmas Recital/CDA_0250.MOV
61|CDA_0278.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/Lightroom CC Downloaded Backup 2018/2018/2018/2018-12-11 Christmas Recital/CDA_0278.MOV
62|CDA_0281.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/Lightroom CC Downloaded Backup 2018/2018/2018/2018-12-11 Christmas Recital/CDA_0281.MOV
63|CDA_0283.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/Lightroom CC Downloaded Backup 2018/2018/2018/2018-12-11 Christmas Recital/CDA_0283.MOV
64|CDA_0285.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/Lightroom CC Downloaded Backup 2018/2018/2018/2018-12-11 Christmas Recital/CDA_0285.MOV
